Time,Test_time,Group,Sex,Age,Nation,Job,Mar,Exper,MediEx,Mind,Self,WB,SC,SP,SX,SA,SoD
T0,Pre,A,女性,25,中国,アルバイトもしくはパート,独身,いいえ、ありません,,55,78,48,22,16,11,29,2
T0,Pre,A,女性,26,中国,雇用されていない,既婚もしくは大切な人と一緒に暮らしている,はい、あります（７問へ）,一回だけ,45,80,59,35,14,6,25,5
T0,Pre,A,女性,23,中国,アルバイトもしくはパート,独身,いいえ、ありません,,54,102,51,33,15,14,40,3
T0,Pre,A,女性,28,中国,雇用されていない,独身,いいえ、ありません,,49,92,58,24,18,12,38,3
T0,Pre,A,女性,19,日本,雇用されていない,独身,いいえ、ありません,,46,91,64,32,17,13,29,3
T0,Pre,A,女性,34,日本,雇用されていない,既婚もしくは大切な人と一緒に暮らしている,いいえ、ありません,,53,76,36,30,8,11,27,3
T0,Pre,A,女性,25,日本,雇用されていない,独身,いいえ、ありません,,51,82,47,28,12,10,32,4
T0,Pre,A,男性,22,日本,アルバイトもしくはパート,独身,いいえ、ありません,,48,97,49,35,15,12,35,6
T0,Pre,A,女性,37,日本,フルタイム,独身,いいえ、ありません,,53,76,45,29,14,10,23,3
T0,Bas,B,男性,21,中国,雇用されていない,独身,はい、あります（７問へ）,二年前から　毎週平均四時間,55,102,71,19,22,18,43,7
T0,Bas,B,女性,50,日本、タイ,フルタイム,既婚もしくは大切な人と一緒に暮らしている,いいえ、ありません,,46,58,49,28,8,5,17,3
T0,Bas,B,女性,39,日本,アルバイトもしくはパート,既婚もしくは大切な人と一緒に暮らしている,はい、あります（７問へ）,3年程前から、毎週平均30分程度,85,85,67,15,24,12,34,5
T0,Bas,B,女性,28,日本,フルタイム,独身,いいえ、ありません,,54,78,54,25,15,12,26,6
T0,Bas,B,女性,56,日本,フルタイム,別居もしくは離婚,いいえ、ありません,,50,81,45,22,13,13,33,4
T0,Bas,B,女性,22,日本,雇用されていない,独身,いいえ、ありません,,47,79,52,24,15,13,27,5
T0,Bas,B,女性,47,日本,フルタイム,既婚もしくは大切な人と一緒に暮らしている,いいえ、ありません,,70,98,63,18,26,15,39,8
T0,Bas,B,男性,21,日本,雇用されていない,独身,はい、あります（７問へ）,1年ほど前に、10分を4回くらい,43,90,64,30,20,8,32,4
T1,Pos,A,女性,25,中国,アルバイトもしくはパート,独身,いいえ、ありません,,57,86,51,20,18,16,32,3
T1,Pos,A,女性,26,中国,雇用されていない,既婚もしくは大切な人と一緒に暮らしている,はい、あります（７問へ）,一回だけ,58,94,70,32,17,12,33,4
T1,Pos,A,女性,23,中国,アルバイトもしくはパート,独身,いいえ、ありません,,59,94,55,22,19,15,38,5
T1,Pos,A,女性,28,中国,雇用されていない,独身,いいえ、ありません,,57,93,64,24,19,12,38,5
T1,Pos,A,女性,19,日本,雇用されていない,独身,いいえ、ありません,,52,90,65,27,19,15,29,6
T1,Pos,A,女性,34,日本,雇用されていない,既婚もしくは大切な人と一緒に暮らしている,いいえ、ありません,,57,85,54,24,14,14,33,4
T1,Pos,A,女性,25,日本,雇用されていない,独身,いいえ、ありません,,52,75,57,23,11,13,28,3
T1,Pos,A,男性,22,日本,アルバイトもしくはパート,独身,いいえ、ありません,,53,105,56,34,19,13,39,6
T1,Pos,A,女性,37,日本,フルタイム,独身,いいえ、ありません,,51,81,39,24,22,9,26,3
T1,Pre,B,男性,21,中国,雇用されていない,独身,はい、あります（７問へ）,二年前から　毎週平均四時間,49,123,77,25,28,21,49,6
T1,Pre,B,女性,50,日本、タイ,フルタイム,既婚もしくは大切な人と一緒に暮らしている,いいえ、ありません,,39,62,62,33,8,6,15,4
T1,Pre,B,女性,39,日本,アルバイトもしくはパート,既婚もしくは大切な人と一緒に暮らしている,はい、あります（７問へ）,3年程前から、毎週平均30分程度,85,79,66,13,21,12,33,4
T1,Pre,B,女性,28,日本,フルタイム,独身,いいえ、ありません,,52,80,60,23,18,11,28,6
T1,Pre,B,女性,56,日本,フルタイム,別居もしくは離婚,いいえ、ありません,,53,89,47,26,16,12,35,3
T1,Pre,B,女性,22,日本,雇用されていない,独身,いいえ、ありません,,50,76,53,29,13,12,22,5
T1,Pre,B,女性,47,日本,フルタイム,既婚もしくは大切な人と一緒に暮らしている,いいえ、ありません,,59,88,72,23,22,11,32,8
T1,Pre,B,男性,21,日本,雇用されていない,独身,はい、あります（７問へ）,1年ほど前に、10分を4回くらい,48,86,61,29,15,11,31,3
T2,FU,A,女性,25,中国,アルバイトもしくはパート,独身,いいえ、ありません,,50,84,56,21,17,15,31,
T2,FU,A,女性,26,中国,雇用されていない,既婚もしくは大切な人と一緒に暮らしている,はい、あります（７問へ）,一回だけ,61,83,72,31,13,9,30,
T2,FU,A,女性,23,中国,アルバイトもしくはパート,独身,いいえ、ありません,,64,109,71,33,21,18,37,
T2,FU,A,女性,28,中国,雇用されていない,独身,いいえ、ありません,,54,100,49,31,19,15,35,
T2,FU,A,女性,19,日本,雇用されていない,独身,いいえ、ありません,,53,88,66,24,18,15,31,
T2,FU,A,女性,34,日本,雇用されていない,既婚もしくは大切な人と一緒に暮らしている,いいえ、ありません,,63,85,56,25,14,14,32,
T2,FU,A,女性,25,日本,雇用されていない,独身,いいえ、ありません,,60,93,57,24,19,15,35,
T2,FU,A,男性,22,日本,アルバイトもしくはパート,独身,いいえ、ありません,,49,97,60,30,18,13,36,
T2,FU,A,女性,37,日本,フルタイム,独身,いいえ、ありません,,57,78,50,20,20,12,26,
T2,Pos,B,男性,21,中国,雇用されていない,独身,はい、あります（７問へ）,二年前から　毎週平均四時間,42,108,77,23,23,19,43,6
T2,Pos,B,女性,50,日本、タイ,フルタイム,既婚もしくは大切な人と一緒に暮らしている,いいえ、ありません,,48,79,71,28,15,9,27,4
T2,Pos,B,女性,39,日本,アルバイトもしくはパート,既婚もしくは大切な人と一緒に暮らしている,はい、あります（７問へ）,3年程前から、毎週平均30分程度,86,97,68,16,28,15,38,4
T2,Pos,B,女性,28,日本,フルタイム,独身,いいえ、ありません,,60,81,62,22,16,14,29,6
T2,Pos,B,女性,56,日本,フルタイム,別居もしくは離婚,いいえ、ありません,,57,90,56,20,22,13,35,4
T2,Pos,B,女性,22,日本,雇用されていない,独身,いいえ、ありません,,50,78,52,25,15,13,25,4
T2,Pos,B,女性,47,日本,フルタイム,既婚もしくは大切な人と一緒に暮らしている,いいえ、ありません,,78,93,59,16,24,14,39,8
T2,Pos,B,男性,21,日本,雇用されていない,独身,はい、あります（７問へ）,1年ほど前に、10分を4回くらい,57,90,56,20,22,13,35,4
T3,FU,B,男性,21,中国,雇用されていない,独身,はい、あります（７問へ）,二年前から　毎週平均四時間,65,122,77,24,28,21,49,
T3,FU,B,女性,50,日本、タイ,フルタイム,既婚もしくは大切な人と一緒に暮らしている,いいえ、ありません,,55,78,66,22,17,13,26,
T3,FU,B,女性,39,日本,アルバイトもしくはパート,既婚もしくは大切な人と一緒に暮らしている,はい、あります（７問へ）,3年程前から、毎週平均30分程度,89,92,77,12,24,15,41,
T3,FU,B,女性,28,日本,フルタイム,独身,いいえ、ありません,,62,83,63,23,17,14,29,
T3,FU,B,女性,56,日本,フルタイム,別居もしくは離婚,いいえ、ありません,,53,88,48,24,19,9,36,
T3,FU,B,女性,22,日本,雇用されていない,独身,いいえ、ありません,,54,79,53,25,15,13,26,
T3,FU,B,女性,47,日本,フルタイム,既婚もしくは大切な人と一緒に暮らしている,いいえ、ありません,,80,92,67,19,24,14,35,
T3,FU,B,男性,21,日本,雇用されていない,独身,はい、あります（７問へ）,1年ほど前に、10分を4回くらい,55,94,67,29,19,13,33,